Date,Open,High,Low,Close,Adj Close,Volume
8-Sep-17,2462.25,2467.11,2459.4,2461.43,2461.43,3302490000
11-Sep-17,2474.52,2488.95,2474.52,2488.11,2488.11,3291760000
12-Sep-17,2491.94,2496.77,2490.37,2496.48,2496.48,3230920000
13-Sep-17,2493.89,2498.37,2492.14,2498.37,2498.37,3368050000
14-Sep-17,2494.56,2498.43,2491.35,2495.62,2495.62,3414460000
15-Sep-17,2495.67,2500.23,2493.16,2500.23,2500.23,4853170000
18-Sep-17,2502.51,2508.32,2499.92,2503.87,2503.87,3194300000
19-Sep-17,2506.29,2507.84,2503.19,2506.65,2506.65,3249100000
20-Sep-17,2506.84,2508.85,2496.67,2508.24,2508.24,3530010000
21-Sep-17,2507.16,2507.16,2499,2500.6,2500.6,2930860000
22-Sep-17,2497.26,2503.47,2496.54,2502.22,2502.22,2865960000
25-Sep-17,2499.39,2502.54,2488.03,2496.66,2496.66,3297890000
26-Sep-17,2501.04,2503.51,2495.12,2496.84,2496.84,3043110000
27-Sep-17,2503.3,2511.75,2495.91,2507.04,2507.04,3456030000
28-Sep-17,2503.41,2510.81,2502.93,2510.06,2510.06,3168620000
29-Sep-17,2509.96,2519.44,2507.99,2519.36,2519.36,3211920000
2-Oct-17,2521.2,2529.23,2520.4,2529.12,2529.12,3199730000
3-Oct-17,2530.34,2535.13,2528.85,2534.58,2534.58,3068850000
4-Oct-17,2533.48,2540.53,2531.8,2537.74,2537.74,3017120000
5-Oct-17,2540.86,2552.51,2540.02,2552.07,2552.07,3045120000
6-Oct-17,2547.44,2549.41,2543.79,2549.33,2549.33,2884570000
9-Oct-17,2551.39,2551.82,2541.6,2544.73,2544.73,2483970000
10-Oct-17,2549.99,2555.23,2544.86,2550.64,2550.64,2960500000
11-Oct-17,2550.62,2555.24,2547.95,2555.24,2555.24,2976090000
12-Oct-17,2552.88,2555.33,2548.31,2550.93,2550.93,3151510000
13-Oct-17,2555.66,2557.65,2552.09,2553.17,2553.17,3149440000
16-Oct-17,2555.57,2559.47,2552.64,2557.64,2557.64,2916020000
17-Oct-17,2557.17,2559.71,2554.69,2559.36,2559.36,2889390000
18-Oct-17,2562.87,2564.11,2559.67,2561.26,2561.26,2998090000
19-Oct-17,2553.39,2562.36,2547.92,2562.1,2562.1,2990710000
20-Oct-17,2567.56,2575.44,2567.56,2575.21,2575.21,3384650000
23-Oct-17,2578.08,2578.29,2564.33,2564.98,2564.98,3211710000
24-Oct-17,2568.66,2572.18,2565.58,2569.13,2569.13,3427330000
25-Oct-17,2566.52,2567.4,2544,2557.15,2557.15,3874510000
26-Oct-17,2560.08,2567.07,2559.8,2560.4,2560.4,3869050000
27-Oct-17,2570.26,2582.98,2565.94,2581.07,2581.07,3887110000
30-Oct-17,2577.75,2580.03,2568.25,2572.83,2572.83,3658870000
31-Oct-17,2575.99,2578.29,2572.15,2575.26,2575.26,3827230000
1-Nov-17,2583.21,2588.4,2574.92,2579.36,2579.36,3813180000
2-Nov-17,2579.46,2581.11,2566.17,2579.85,2579.85,4048270000
3-Nov-17,2581.93,2588.42,2576.77,2587.84,2587.84,3567710000
6-Nov-17,2587.47,2593.38,2585.66,2591.13,2591.13,3539080000
7-Nov-17,2592.11,2597.02,2584.35,2590.64,2590.64,3809650000
8-Nov-17,2588.71,2595.47,2585.02,2594.38,2594.38,3899360000
9-Nov-17,2584,2586.5,2566.33,2584.62,2584.62,3831610000
10-Nov-17,2580.18,2583.81,2575.57,2582.3,2582.3,3486910000
13-Nov-17,2576.53,2587.66,2574.48,2584.84,2584.84,3402930000
14-Nov-17,2577.75,2579.66,2566.56,2578.87,2578.87,3641760000
15-Nov-17,2569.45,2572.84,2557.45,2564.62,2564.62,3558890000
16-Nov-17,2572.95,2590.09,2572.95,2585.64,2585.64,3312710000
17-Nov-17,2582.94,2583.96,2577.62,2578.85,2578.85,3300160000
20-Nov-17,2579.49,2584.64,2578.24,2582.14,2582.14,3003540000
21-Nov-17,2589.17,2601.19,2589.17,2599.03,2599.03,3332720000
22-Nov-17,2600.31,2600.94,2595.23,2597.08,2597.08,2762950000
24-Nov-17,2600.42,2604.21,2600.42,2602.42,2602.42,1349780000
27-Nov-17,2602.66,2606.41,2598.87,2601.42,2601.42,3006860000
28-Nov-17,2605.94,2627.69,2605.44,2627.04,2627.04,3488420000
29-Nov-17,2627.82,2634.89,2620.32,2626.07,2626.07,4078280000
30-Nov-17,2633.93,2657.74,2633.93,2647.58,2647.58,4938490000
1-Dec-17,2645.1,2650.62,2605.52,2642.22,2642.22,3942320000
4-Dec-17,2657.19,2665.19,2639.03,2639.44,2639.44,4023150000
5-Dec-17,2639.78,2648.72,2627.73,2629.57,2629.57,3539040000
6-Dec-17,2626.24,2634.41,2624.75,2629.27,2629.27,3229000000
7-Dec-17,2628.38,2640.99,2626.53,2636.98,2636.98,3292400000
8-Dec-17,2646.21,2651.65,2644.1,2651.5,2651.5,3106150000
11-Dec-17,2652.19,2660.33,2651.47,2659.99,2659.99,3091950000
12-Dec-17,2661.73,2669.72,2659.78,2664.11,2664.11,3555680000
13-Dec-17,2667.59,2671.88,2662.85,2662.85,2662.85,3542370000
14-Dec-17,2665.87,2668.09,2652.01,2652.01,2652.01,3430030000
15-Dec-17,2660.63,2679.63,2659.14,2675.81,2675.81,5723920000
18-Dec-17,2685.92,2694.97,2685.92,2690.16,2690.16,3724660000
19-Dec-17,2692.71,2694.44,2680.74,2681.47,2681.47,3368590000
20-Dec-17,2688.18,2691.01,2676.11,2679.25,2679.25,3241030000
